task,n,salsvd_mean,random_mean,delta,dz,wins,p_one,p_holm
SST2,10,0.946674,0.946101,0.000573,0.1868,5,0.294922,0.294922
MRPC,10,0.881863,0.873775,0.008088,0.3907,7,0.093750,0.281250
COLA,10,0.597685,0.584633,0.013052,1.2855,9,0.001953,0.009766
STSB,10,0.902353,0.901348,0.001005,0.4831,9,0.032227,0.128906
RTE,10,0.762455,0.756318,0.006137,0.4249,8,0.099609,0.199219
