task,n,salsvd_mean,random_mean,delta,dz,wins,p_one,p_holm
SST2,5,0.945872,0.944266,0.001606,0.6081,3,0.156250,0.468750
MRPC,5,0.885784,0.874020,0.011765,1.1574,4,0.062500,0.250000
COLA,5,0.594682,0.582277,0.012405,2.1060,5,0.031250,0.156250
STSB,5,0.902979,0.902166,0.000813,0.2687,4,0.218750,0.437500
RTE,5,0.759567,0.756679,0.002888,0.2290,4,0.281250,0.281250
